Date,Close,Open,High,Low,Vol.,Change
20-10-2020,11896.8,11861.0,11949.25,11837.25,453.56,0.2
21-10-2020,11937.65,11958.55,12018.65,11775.75,623.66,0.34
22-10-2020,11896.45,11890.0,11939.55,11823.45,544.9,-0.35
23-10-2020,11930.35,11957.9,11974.55,11908.75,502.34,0.28
26-10-2020,11767.75,11937.4,11942.85,11711.7,519.82,-1.36
27-10-2020,11889.4,11807.1,11899.05,11723.0,616.32,1.03
28-10-2020,11729.6,11922.6,11929.4,11684.85,704.02,-1.34
29-10-2020,11670.8,11633.3,11744.15,11606.45,554.96,-0.5
30-10-2020,11642.4,11678.45,11748.95,11535.45,553.67,-0.24
02-11-2020,11669.15,11697.35,11725.65,11557.4,568.43,0.23
03-11-2020,11813.5,11734.45,11836.2,11723.3,674.3,1.24
04-11-2020,11908.5,11783.35,11929.65,11756.4,667.29,0.8
05-11-2020,12120.3,12062.4,12131.1,12027.6,632.45,1.78
06-11-2020,12263.55,12156.65,12280.4,12131.85,576.84,1.18
09-11-2020,12461.05,12399.4,12474.05,12367.35,553.45,1.61
10-11-2020,12631.1,12556.4,12643.9,12475.25,847.45,1.36
11-11-2020,12749.15,12680.6,12769.75,12571.1,880.48,0.93
12-11-2020,12690.8,12702.15,12741.15,12624.85,622.02,-0.46
13-11-2020,12719.95,12659.7,12735.95,12607.7,513.95,0.23
14-11-2020,12780.25,12823.35,12828.7,12749.45,107.87,0.47
17-11-2020,12874.2,12932.5,12934.05,12797.1,707.68,0.74
18-11-2020,12938.25,12860.1,12948.85,12819.35,731.32,0.5
19-11-2020,12771.7,12839.5,12963.0,12745.75,768.75,-1.29
20-11-2020,12859.05,12813.4,12892.45,12730.25,664.0,0.68
23-11-2020,12926.45,12960.3,12968.85,12825.7,633.12,0.52
24-11-2020,13055.15,13002.6,13079.1,12978.0,571.87,1.0
25-11-2020,12858.4,13130.0,13145.85,12833.65,679.01,-1.51
26-11-2020,12987.0,12906.45,13018.0,12790.4,549.8,1.0
27-11-2020,12968.95,13012.05,13035.3,12914.3,,-0.14
01-12-2020,13109.05,13062.2,13128.4,12962.8,583.63,1.08
02-12-2020,13113.75,13121.4,13128.5,12983.55,717.71,0.04
03-12-2020,13133.9,13215.3,13216.6,13107.9,713.69,0.15
04-12-2020,13258.55,13177.4,13280.05,13152.85,640.51,0.95
07-12-2020,13355.75,13264.85,13366.65,13241.95,591.72,0.73
08-12-2020,13392.95,13393.85,13435.45,13311.05,543.16,0.28
09-12-2020,13529.1,13458.1,13548.9,13449.6,502.6,1.02
10-12-2020,13478.3,13488.5,13503.55,13399.3,553.4,-0.38
11-12-2020,13513.85,13512.3,13579.35,13402.85,787.71,0.26
14-12-2020,13558.15,13571.45,13597.5,13472.45,558.39,0.33
15-12-2020,13567.85,13547.2,13589.65,13447.05,497.6,0.07
16-12-2020,13682.7,13663.1,13692.35,13606.45,462.15,0.85
17-12-2020,13740.7,13713.55,13773.25,13673.55,416.01,0.42
18-12-2020,13760.55,13764.4,13772.85,13658.6,519.39,0.14
21-12-2020,13328.4,13741.9,13777.5,13131.45,687.25,-3.14
22-12-2020,13466.3,13373.65,13492.05,13192.9,696.2,1.03
23-12-2020,13601.1,13473.5,13619.45,13432.2,458.65,1.0
24-12-2020,13749.25,13672.15,13771.75,13626.9,471.37,1.09
28-12-2020,13873.2,13815.15,13885.3,13811.55,403.63,0.9
29-12-2020,13932.6,13910.35,13967.6,13859.9,439.59,0.43
30-12-2020,13981.95,13980.9,13997.0,13864.95,380.68,0.35
31-12-2020,13981.75,13970.0,14024.85,13936.45,452.41,0.0
01-01-2021,14018.5,13996.1,14049.85,13991.35,258.09,0.26
04-01-2021,14132.9,14104.35,14147.95,13953.75,495.0,0.82
05-01-2021,14199.5,14075.15,14215.6,14048.15,492.48,0.47
06-01-2021,14146.25,14240.95,14244.15,14039.9,632.32,-0.38
07-01-2021,14137.35,14253.75,14256.25,14123.1,559.17,-0.06
08-01-2021,14347.25,14258.4,14367.3,14221.65,613.47,1.48
11-01-2021,14484.75,14474.05,14498.2,14383.1,672.88,0.96
12-01-2021,14563.45,14473.8,14590.65,14432.85,929.57,0.54
13-01-2021,14564.85,14639.8,14653.35,14435.7,873.96,0.01
14-01-2021,14595.6,14550.05,14617.8,14471.5,620.2,0.21
15-01-2021,14433.7,14594.35,14617.45,14357.85,789.56,-1.11
18-01-2021,14281.3,14453.3,14459.15,14222.8,762.04,-1.06
19-01-2021,14521.15,14371.65,14546.05,14350.85,546.11,1.68
20-01-2021,14644.7,14538.3,14666.45,14517.55,623.07,0.85
21-01-2021,14590.35,14730.95,14753.55,14517.25,704.65,-0.37
22-01-2021,14371.9,14583.4,14619.9,14357.75,776.75,-1.5
25-01-2021,14238.9,14477.8,14491.1,14218.6,618.63,-0.93
27-01-2021,13967.5,14237.95,14237.95,13929.3,660.71,-1.91
28-01-2021,13817.55,13810.4,13898.25,13713.25,637.87,-1.07
29-01-2021,13634.6,13946.6,13966.85,13596.75,753.21,-1.32
01-02-2021,14281.2,13758.6,14336.35,13661.75,870.53,4.74
02-02-2021,14647.85,14481.1,14731.7,14469.15,914.97,2.57
03-02-2021,14789.95,14754.9,14868.85,14574.15,869.48,0.97
04-02-2021,14895.65,14789.05,14913.7,14714.75,884.69,0.71
05-02-2021,14924.25,14952.6,15014.65,14864.75,935.63,0.19
08-02-2021,15115.8,15064.3,15159.9,15041.05,671.24,1.28
